Ref,Val,Package,PosX,PosY,Rot,Side
"R24","10k","R_0402_1005Metric",117.050000,-108.585000,180.000000,top
"R25","10k","R_0402_1005Metric",56.134000,-81.024000,90.000000,top
"R26","10k","R_0402_1005Metric",54.610000,-102.362000,270.000000,top
"R27","10k","R_0402_1005Metric",200.300000,-89.775000,0.000000,top
"R29","10k","R_0402_1005Metric",206.700000,-104.400000,90.000000,top
"R30","10k","R_0402_1005Metric",201.536000,-104.425000,90.000000,top
"R31","5.6k","R_0805_2012Metric",73.048500,-83.566000,0.000000,top
"R32","5.6k","R_0805_2012Metric",71.882000,-90.170000,270.000000,top
"R33","100k","R_0402_1005Metric",124.738000,-80.802000,180.000000,top
"R34","10k","R_0402_1005Metric",41.615000,-80.500000,180.000000,top
"R35","10k","R_0402_1005Metric",48.800000,-103.850000,180.000000,top
"R36","0","R_0402_1005Metric",155.702000,-85.852000,45.000000,top
"R37","10k","R_0402_1005Metric",183.510000,-76.770000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",144.064000,-80.520000,0.000000,top
"U2","CAT24C256","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",196.525000,-79.750000,270.000000,top
"U3","USBLC6-2SC6","SOT-23-6",129.700000,-80.500000,90.000000,top
"U7","WM8978CGEFL_RV","WM8960CGEFL&slash_RV",110.650000,-85.100000,90.000000,top
"U10","SN74LVC2G34","SOT-23-6",58.504000,-98.552000,0.000000,top
"U11","SN74LVC2G34","SOT-23-6",197.104000,-87.884000,180.000000,top
"U13","STM32H743IITx","LQFP-176_24x24mm_P0.5mm",171.600000,-93.000000,315.000000,top
